table,domain_id,domain_name
CustomerCategories,0,Customer Data Management
Customers,1,Customer-Supplier Management
Suppliers,1,Customer-Supplier Management
SystemParameters,1,Customer-Supplier Management
SupplierCategories,2,SupplierCategory Management
DeliveryMethods,3,Delivery and User Management
People,3,Delivery and User Management
CustomerTransactions,4,Transaction Management
SupplierTransactions,4,Transaction Management
Invoices,5,Order and Invoice Management
Orders,5,Order and Invoice Management
PurchaseOrders,5,Order and Invoice Management
Cities,6,City and State Provinces Management
StateProvinces,6,City and State Provinces Management
TransactionTypes,6,City and State Provinces Management
Colors,7,Product Information Management
StockItems,7,Product Information Management
PaymentMethods,8,Payment Method Management
BuyingGroups,9,BuyingGroup Administration
InvoiceLines,10,Purchase Line Management
OrderLines,10,Purchase Line Management
SpecialDeals,11,Promotion and Inventory Management
StockItemHoldings,11,Promotion and Inventory Management
StockItemStockGroups,11,Promotion and Inventory Management
StockItemTransactions,11,Promotion and Inventory Management
StockGroups,12,Buying Group and Stock Management
ColdRoomTemperatures,13,Temperature Data Management
PurchaseOrderLines,14,Purchase Order Line Management
VehicleTemperatures,15,Temperature Data Tracking
PackageTypes,16,Package Type Management
