table,domain_id,domain_name
INVENTORY,0,Inventory and Product Data Management
inv_df,0,Inventory and Product Data Management
PRODUCTS,1,Product Information Management
prod_df,1,Product Information Management
CUST_HIST,2,Customer Order Data Management
ORDERS,2,Customer Order Data Management
custhist_df,3,Customer Order Data Management and Analysis
orders_df,3,Customer Order Data Management and Analysis
CUSTOMER,4,Customer Account and Profile Management
cust_df,4,Customer Account and Profile Management
ORDERLINES,5,Order Data Management and Analysis
orderlines_df,5,Order Data Management and Analysis
