table_i,table_j,Sim_T
CUSTOMER.1,cust_df.1,0.957749
INVENTORY,inv_df,0.956867
CUSTOMER.SLZCISTEWL@dell,cust_df.SLZCISTEWL@dell,0.956698
CUSTOMER.FQIVBKWIZC@dell,cust_df.FQIVBKWIZC@dell,0.956091
CUST_HIST,custhist_df,0.955943
ORDERLINES.1,orderlines_df.1,0.955521
ORDERS.8,orders_df.8,0.954997
ORDERS.244,orders_df.244,0.954879
ORDERS.9,orders_df.9,0.954877
ORDERS.384,orders_df.384,0.954854
ORDERS.2,orders_df.2,0.954848
ORDERS.289,orders_df.289,0.954822
ORDERS.5,orders_df.5,0.954803
ORDERS.392,orders_df.392,0.954778
ORDERS.34,orders_df.34,0.954763
ORDERS.102,orders_df.102,0.954762
ORDERS.184,orders_df.184,0.954756
ORDERS.313,orders_df.313,0.954727
ORDERS.28,orders_df.28,0.954717
ORDERS.14,orders_df.14,0.954698
ORDERS.31,orders_df.31,0.954685
ORDERS.29,orders_df.29,0.954683
ORDERS.73,orders_df.73,0.954672
ORDERS.67,orders_df.67,0.954648
ORDERS.379,orders_df.379,0.954638
ORDERS.339,orders_df.339,0.95462
ORDERS.0,orders_df.0,0.954608
ORDERS.416,orders_df.416,0.954606
ORDERS.23,orders_df.23,0.954606
ORDERS.20,orders_df.20,0.95459
ORDERS.10,orders_df.10,0.954583
ORDERS.134,orders_df.134,0.954579
ORDERS.170,orders_df.170,0.954559
ORDERS.264,orders_df.264,0.954539
ORDERS.111,orders_df.111,0.954528
ORDERS.362,orders_df.362,0.954508
ORDERS.25,orders_df.25,0.954465
PRODUCTS.25,prod_df.25,0.954438
ORDERS.123,orders_df.123,0.954432
ORDERS.350,orders_df.350,0.954374
CUSTOMER.1,ORDERLINES.1,0.916928
CUSTOMER.1,orderlines_df.1,0.916491
ORDERLINES.1,cust_df.1,0.915789
cust_df.1,orderlines_df.1,0.915425
ORDERLINES,orderlines_df,0.907001
CUSTOMER,cust_df,0.877647
PRODUCTS,prod_df,0.819614
ORDERLINES,custhist_df,0.769069
CUST_HIST,ORDERLINES,0.768918
custhist_df,orderlines_df,0.768864
CUST_HIST,orderlines_df,0.768644
ORDERS,custhist_df,0.764126
CUST_HIST,ORDERS,0.763887
custhist_df,orders_df,0.762371
CUST_HIST,orders_df,0.762127
