col_i,col_j,table_i,table_j,P_stat,P_stat_norm,P_name,P_sem,Sim_attr,weight
nation.n_regionkey,region.r_regionkey,nation,region,0.0,0.0,0.909091,0.218295,0.95,0.95
customer.c_nationkey,nation.n_nationkey,customer,nation,0.023749,0.007411011072984837,0.909091,0.092328,0.946665,0.946665
nation.n_nationkey,supplier.s_nationkey,nation,supplier,0.027579,0.008606184444896577,0.909091,0.09067,0.946127,0.946127
part.p_partkey,partsupp.ps_partkey,part,partsupp,0.0,0.0,0.9,0.151013,0.945,0.945
lineitem.l_orderkey,orders.o_orderkey,lineitem,orders,0.0,0.0,0.9,0.180888,0.945,0.945
customer.c_nationkey,supplier.s_nationkey,customer,supplier,0.051175,0.01596945099414708,0.909091,0.111255,0.942814,0.942814
lineitem.l_suppkey,supplier.s_suppkey,lineitem,supplier,0.004905,0.0015306332608948008,0.888889,0.130288,0.9382,0.9382
customer.c_custkey,orders.o_custkey,customer,orders,0.013638,0.004255815782279979,0.888889,0.137597,0.936974,0.936974
customer.c_address,supplier.s_address,customer,supplier,0.047973,0.014970248608543586,0.888889,0.050535,0.932152,0.932152
customer.c_comment,nation.n_comment,customer,nation,0.066729,0.02082316551809361,0.888889,0.042915,0.929519,0.929519
partsupp.ps_suppkey,supplier.s_suppkey,partsupp,supplier,0.126181,0.039375501629554915,0.9,0.121333,0.927281,0.927281
orders.o_comment,supplier.s_comment,orders,supplier,0.092045,0.028723167889717013,0.888889,0.075326,0.925964,0.925964
lineitem.l_comment,part.p_comment,lineitem,part,0.092433,0.028844245505461597,0.888889,0.052388,0.925909,0.925909
lineitem.l_partkey,part.p_partkey,lineitem,part,0.117181,0.03656700023341767,0.888889,0.143073,0.922434,0.922434
lineitem.l_comment,supplier.s_comment,lineitem,supplier,0.120602,0.037634542819660506,0.888889,0.058463,0.921953,0.921953
customer.c_phone,supplier.s_phone,customer,supplier,0.0,0.0,0.857143,0.078423,0.921429,0.921429
customer.c_comment,orders.o_comment,customer,orders,0.141551,0.04417179790273598,0.888889,0.062041,0.919012,0.919012
customer.c_acctbal,supplier.s_acctbal,customer,supplier,0.181708,0.05670301907658971,0.888889,0.095922,0.913373,0.913373
