table,column,domain_id,domain_name
lineitem,l_comment,0,Order and Line Item Management
lineitem,l_commitdate,0,Order and Line Item Management
lineitem,l_discount,0,Order and Line Item Management
lineitem,l_extendedprice,0,Order and Line Item Management
lineitem,l_linenumber,0,Order and Line Item Management
lineitem,l_linestatus,0,Order and Line Item Management
lineitem,l_orderkey,0,Order and Line Item Management
lineitem,l_partkey,0,Order and Line Item Management
lineitem,l_quantity,0,Order and Line Item Management
lineitem,l_receiptdate,0,Order and Line Item Management
lineitem,l_returnflag,0,Order and Line Item Management
lineitem,l_shipdate,0,Order and Line Item Management
lineitem,l_shipinstruct,0,Order and Line Item Management
lineitem,l_shipmode,0,Order and Line Item Management
lineitem,l_suppkey,0,Order and Line Item Management
lineitem,l_tax,0,Order and Line Item Management
orders,o_clerk,0,Order and Line Item Management
orders,o_comment,0,Order and Line Item Management
orders,o_custkey,0,Order and Line Item Management
orders,o_orderdate,0,Order and Line Item Management
orders,o_orderkey,0,Order and Line Item Management
orders,o_orderpriority,0,Order and Line Item Management
orders,o_orderstatus,0,Order and Line Item Management
orders,o_shippriority,0,Order and Line Item Management
orders,o_totalprice,0,Order and Line Item Management
customer,c_acctbal,1,Customer-Nation-Supplier Management
customer,c_address,1,Customer-Nation-Supplier Management
customer,c_comment,1,Customer-Nation-Supplier Management
customer,c_custkey,1,Customer-Nation-Supplier Management
customer,c_mktsegment,1,Customer-Nation-Supplier Management
customer,c_name,1,Customer-Nation-Supplier Management
customer,c_nationkey,1,Customer-Nation-Supplier Management
customer,c_phone,1,Customer-Nation-Supplier Management
nation,n_comment,1,Customer-Nation-Supplier Management
nation,n_name,1,Customer-Nation-Supplier Management
nation,n_nationkey,1,Customer-Nation-Supplier Management
nation,n_regionkey,1,Customer-Nation-Supplier Management
supplier,s_acctbal,1,Customer-Nation-Supplier Management
supplier,s_address,1,Customer-Nation-Supplier Management
supplier,s_comment,1,Customer-Nation-Supplier Management
supplier,s_name,1,Customer-Nation-Supplier Management
supplier,s_nationkey,1,Customer-Nation-Supplier Management
supplier,s_phone,1,Customer-Nation-Supplier Management
supplier,s_suppkey,1,Customer-Nation-Supplier Management
part,p_brand,2,Product and Region Information Management
part,p_comment,2,Product and Region Information Management
part,p_container,2,Product and Region Information Management
part,p_mfgr,2,Product and Region Information Management
part,p_name,2,Product and Region Information Management
part,p_partkey,2,Product and Region Information Management
part,p_retailprice,2,Product and Region Information Management
part,p_size,2,Product and Region Information Management
part,p_type,2,Product and Region Information Management
partsupp,ps_availqty,2,Product and Region Information Management
partsupp,ps_comment,2,Product and Region Information Management
partsupp,ps_partkey,2,Product and Region Information Management
partsupp,ps_suppkey,2,Product and Region Information Management
partsupp,ps_supplycost,2,Product and Region Information Management
region,r_comment,2,Product and Region Information Management
region,r_name,2,Product and Region Information Management
region,r_regionkey,2,Product and Region Information Management
