table,domain_id,domain_name
CustomerCategories,0,Customer Data Management
Customers,1,Customer-Supplier Management
Suppliers,1,Customer-Supplier Management
SystemParameters,1,Customer-Supplier Management
SupplierCategories,2,SupplierCategory Management
VehicleTemperatures,3,TemperatureLoggingInfrastructure
DeliveryMethods,4,Delivery Method Management
Colors,5,Product Information Management
StockItems,5,Product Information Management
BuyingGroups,6,PurchaseGroup Management
ColdRoomTemperatures,7,TemperatureDataManagement
StockGroups,8,BuyingGroupInventoryManagement
PaymentMethods,9,User and Payment Management
People,9,User and Payment Management
PackageTypes,10,PackageType Management
Cities,11,City and State Provinces Management
StateProvinces,11,City and State Provinces Management
TransactionTypes,11,City and State Provinces Management
Invoices,12,Order and Purchase Management
Orders,12,Order and Purchase Management
PurchaseOrders,12,Order and Purchase Management
CustomerTransactions,13,Purchase and Inventory Management
InvoiceLines,13,Purchase and Inventory Management
OrderLines,13,Purchase and Inventory Management
PurchaseOrderLines,13,Purchase and Inventory Management
SpecialDeals,13,Purchase and Inventory Management
StockItemHoldings,13,Purchase and Inventory Management
StockItemStockGroups,13,Purchase and Inventory Management
StockItemTransactions,13,Purchase and Inventory Management
SupplierTransactions,13,Purchase and Inventory Management
