table,domain_id,domain_name
INVENTORY,0,Inventory and Product Data Management
inv_df,0,Inventory and Product Data Management
CUST_HIST,1,Order Data Management
ORDERLINES,1,Order Data Management
ORDERS,1,Order Data Management
custhist_df,1,Order Data Management
orderlines_df,1,Order Data Management
orders_df,1,Order Data Management
PRODUCTS,2,Product Information Management
prod_df,2,Product Information Management
CUSTOMER,3,Customer Identity and Access Management
cust_df,3,Customer Identity and Access Management
