table,domain_id,domain_name
INVENTORY,0,Inventory and Product Data Management
inv_df,0,Inventory and Product Data Management
PRODUCTS,1,Product Information Management
prod_df,1,Product Information Management
CUSTOMER,2,Customer Identity and Access Management
cust_df,2,Customer Identity and Access Management
CUST_HIST,3,Order Data Management
ORDERLINES,3,Order Data Management
ORDERS,3,Order Data Management
custhist_df,3,Order Data Management
orderlines_df,3,Order Data Management
orders_df,3,Order Data Management
