table,column,domain_id,domain_name
nation,n_comment,0,Geographical Information Management
nation,n_name,0,Geographical Information Management
nation,n_nationkey,0,Geographical Information Management
nation,n_regionkey,0,Geographical Information Management
partsupp,ps_availqty,1,Supply Chain Management
partsupp,ps_comment,1,Supply Chain Management
partsupp,ps_partkey,1,Supply Chain Management
partsupp,ps_suppkey,1,Supply Chain Management
partsupp,ps_supplycost,1,Supply Chain Management
customer,c_acctbal,2,Customer-Order Management
customer,c_address,2,Customer-Order Management
customer,c_comment,2,Customer-Order Management
customer,c_custkey,2,Customer-Order Management
customer,c_mktsegment,2,Customer-Order Management
customer,c_name,2,Customer-Order Management
customer,c_nationkey,2,Customer-Order Management
customer,c_phone,2,Customer-Order Management
supplier,s_acctbal,3,Supplier Information Management
supplier,s_address,3,Supplier Information Management
supplier,s_comment,3,Supplier Information Management
supplier,s_name,3,Supplier Information Management
supplier,s_nationkey,3,Supplier Information Management
supplier,s_phone,3,Supplier Information Management
supplier,s_suppkey,3,Supplier Information Management
part,p_brand,4,Product-Region Information Management
part,p_comment,4,Product-Region Information Management
part,p_container,4,Product-Region Information Management
part,p_mfgr,4,Product-Region Information Management
part,p_name,4,Product-Region Information Management
part,p_partkey,4,Product-Region Information Management
part,p_retailprice,4,Product-Region Information Management
part,p_size,4,Product-Region Information Management
part,p_type,4,Product-Region Information Management
region,r_comment,4,Product-Region Information Management
region,r_name,4,Product-Region Information Management
region,r_regionkey,4,Product-Region Information Management
orders,o_clerk,5,Order Processing and Analysis
orders,o_comment,5,Order Processing and Analysis
orders,o_custkey,5,Order Processing and Analysis
orders,o_orderdate,5,Order Processing and Analysis
orders,o_orderkey,5,Order Processing and Analysis
orders,o_orderpriority,5,Order Processing and Analysis
orders,o_orderstatus,5,Order Processing and Analysis
orders,o_shippriority,5,Order Processing and Analysis
orders,o_totalprice,5,Order Processing and Analysis
lineitem,l_comment,6,Order Data Management
lineitem,l_commitdate,6,Order Data Management
lineitem,l_discount,6,Order Data Management
lineitem,l_extendedprice,6,Order Data Management
lineitem,l_linenumber,6,Order Data Management
lineitem,l_linestatus,6,Order Data Management
lineitem,l_orderkey,6,Order Data Management
lineitem,l_partkey,6,Order Data Management
lineitem,l_quantity,6,Order Data Management
lineitem,l_receiptdate,6,Order Data Management
lineitem,l_returnflag,6,Order Data Management
lineitem,l_shipdate,6,Order Data Management
lineitem,l_shipinstruct,6,Order Data Management
lineitem,l_shipmode,6,Order Data Management
lineitem,l_suppkey,6,Order Data Management
lineitem,l_tax,6,Order Data Management
