table,domain_id,domain_name
INVENTORY,0,Inventory and Product Data Management
inv_df,0,Inventory and Product Data Management
PRODUCTS,1,Product Information Management
prod_df,1,Product Information Management
ORDERLINES,2,Order Data Management
ORDERS,2,Order Data Management
orderlines_df,2,Order Data Management
CUST_HIST,3,Customer Order Data Management
custhist_df,3,Customer Order Data Management
orders_df,3,Customer Order Data Management
CUSTOMER,4,Customer Account and Profile Management
cust_df,4,Customer Account and Profile Management
