table,column,domain_id,domain_name
CustomerCategories,CustomerCategoryID,0,Customer Data Management
CustomerCategories,CustomerCategoryName,0,Customer Data Management
CustomerCategories,LastEditedBy,0,Customer Data Management
CustomerCategories,ValidFrom,0,Customer Data Management
CustomerCategories,ValidTo,0,Customer Data Management
Customers,AccountOpenedDate,1,Customer-Supplier Management
Customers,AlternateContactPersonID,1,Customer-Supplier Management
Customers,BillToCustomerID,1,Customer-Supplier Management
Customers,BuyingGroupID,1,Customer-Supplier Management
Customers,CreditLimit,1,Customer-Supplier Management
Customers,CustomerCategoryID,1,Customer-Supplier Management
Customers,CustomerID,1,Customer-Supplier Management
Customers,CustomerName,1,Customer-Supplier Management
Customers,DeliveryAddressLine1,1,Customer-Supplier Management
Customers,DeliveryAddressLine2,1,Customer-Supplier Management
Customers,DeliveryCityID,1,Customer-Supplier Management
Customers,DeliveryLocation,1,Customer-Supplier Management
Customers,DeliveryMethodID,1,Customer-Supplier Management
Customers,DeliveryPostalCode,1,Customer-Supplier Management
Customers,DeliveryRun,1,Customer-Supplier Management
Customers,FaxNumber,1,Customer-Supplier Management
Customers,IsOnCreditHold,1,Customer-Supplier Management
Customers,IsStatementSent,1,Customer-Supplier Management
Customers,LastEditedBy,1,Customer-Supplier Management
Customers,PaymentDays,1,Customer-Supplier Management
Customers,PhoneNumber,1,Customer-Supplier Management
Customers,PostalAddressLine1,1,Customer-Supplier Management
Customers,PostalAddressLine2,1,Customer-Supplier Management
Customers,PostalCityID,1,Customer-Supplier Management
Customers,PostalPostalCode,1,Customer-Supplier Management
Customers,PrimaryContactPersonID,1,Customer-Supplier Management
Customers,RunPosition,1,Customer-Supplier Management
Customers,StandardDiscountPercentage,1,Customer-Supplier Management
Customers,ValidFrom,1,Customer-Supplier Management
Customers,ValidTo,1,Customer-Supplier Management
Customers,WebsiteURL,1,Customer-Supplier Management
Suppliers,AlternateContactPersonID,1,Customer-Supplier Management
Suppliers,BankAccountBranch,1,Customer-Supplier Management
Suppliers,BankAccountCode,1,Customer-Supplier Management
Suppliers,BankAccountName,1,Customer-Supplier Management
Suppliers,BankAccountNumber,1,Customer-Supplier Management
Suppliers,BankInternationalCode,1,Customer-Supplier Management
Suppliers,DeliveryAddressLine1,1,Customer-Supplier Management
Suppliers,DeliveryAddressLine2,1,Customer-Supplier Management
Suppliers,DeliveryCityID,1,Customer-Supplier Management
Suppliers,DeliveryLocation,1,Customer-Supplier Management
Suppliers,DeliveryMethodID,1,Customer-Supplier Management
Suppliers,DeliveryPostalCode,1,Customer-Supplier Management
Suppliers,FaxNumber,1,Customer-Supplier Management
Suppliers,InternalComments,1,Customer-Supplier Management
Suppliers,LastEditedBy,1,Customer-Supplier Management
Suppliers,PaymentDays,1,Customer-Supplier Management
Suppliers,PhoneNumber,1,Customer-Supplier Management
Suppliers,PostalAddressLine1,1,Customer-Supplier Management
Suppliers,PostalAddressLine2,1,Customer-Supplier Management
Suppliers,PostalCityID,1,Customer-Supplier Management
Suppliers,PostalPostalCode,1,Customer-Supplier Management
Suppliers,PrimaryContactPersonID,1,Customer-Supplier Management
Suppliers,SupplierCategoryID,1,Customer-Supplier Management
Suppliers,SupplierID,1,Customer-Supplier Management
Suppliers,SupplierName,1,Customer-Supplier Management
Suppliers,SupplierReference,1,Customer-Supplier Management
Suppliers,ValidFrom,1,Customer-Supplier Management
Suppliers,ValidTo,1,Customer-Supplier Management
Suppliers,WebsiteURL,1,Customer-Supplier Management
SystemParameters,ApplicationSettings,1,Customer-Supplier Management
SystemParameters,DeliveryAddressLine1,1,Customer-Supplier Management
SystemParameters,DeliveryAddressLine2,1,Customer-Supplier Management
SystemParameters,DeliveryCityID,1,Customer-Supplier Management
SystemParameters,DeliveryLocation,1,Customer-Supplier Management
SystemParameters,DeliveryPostalCode,1,Customer-Supplier Management
SystemParameters,LastEditedBy,1,Customer-Supplier Management
SystemParameters,LastEditedWhen,1,Customer-Supplier Management
SystemParameters,PostalAddressLine1,1,Customer-Supplier Management
SystemParameters,PostalAddressLine2,1,Customer-Supplier Management
SystemParameters,PostalCityID,1,Customer-Supplier Management
SystemParameters,PostalPostalCode,1,Customer-Supplier Management
SystemParameters,SystemParameterID,1,Customer-Supplier Management
SupplierCategories,LastEditedBy,2,SupplierCategory Management
SupplierCategories,SupplierCategoryID,2,SupplierCategory Management
SupplierCategories,SupplierCategoryName,2,SupplierCategory Management
SupplierCategories,ValidFrom,2,SupplierCategory Management
SupplierCategories,ValidTo,2,SupplierCategory Management
VehicleTemperatures,ChillerSensorNumber,3,TemperatureLoggingInfrastructure
VehicleTemperatures,CompressedSensorData,3,TemperatureLoggingInfrastructure
VehicleTemperatures,FullSensorData,3,TemperatureLoggingInfrastructure
VehicleTemperatures,IsCompressed,3,TemperatureLoggingInfrastructure
VehicleTemperatures,RecordedWhen,3,TemperatureLoggingInfrastructure
VehicleTemperatures,Temperature,3,TemperatureLoggingInfrastructure
VehicleTemperatures,VehicleRegistration,3,TemperatureLoggingInfrastructure
VehicleTemperatures,VehicleTemperatureID,3,TemperatureLoggingInfrastructure
DeliveryMethods,DeliveryMethodID,4,Delivery Method Management
DeliveryMethods,DeliveryMethodName,4,Delivery Method Management
DeliveryMethods,LastEditedBy,4,Delivery Method Management
DeliveryMethods,ValidFrom,4,Delivery Method Management
DeliveryMethods,ValidTo,4,Delivery Method Management
Colors,ColorID,5,Color Asset Management
Colors,ColorName,5,Color Asset Management
Colors,LastEditedBy,5,Color Asset Management
Colors,ValidFrom,5,Color Asset Management
Colors,ValidTo,5,Color Asset Management
StockItems,Barcode,6,Inventory Management
StockItems,Brand,6,Inventory Management
StockItems,ColorID,6,Inventory Management
StockItems,CustomFields,6,Inventory Management
StockItems,InternalComments,6,Inventory Management
StockItems,IsChillerStock,6,Inventory Management
StockItems,LastEditedBy,6,Inventory Management
StockItems,LeadTimeDays,6,Inventory Management
StockItems,MarketingComments,6,Inventory Management
StockItems,OuterPackageID,6,Inventory Management
StockItems,Photo,6,Inventory Management
StockItems,QuantityPerOuter,6,Inventory Management
StockItems,RecommendedRetailPrice,6,Inventory Management
StockItems,SearchDetails,6,Inventory Management
StockItems,Size,6,Inventory Management
StockItems,StockItemID,6,Inventory Management
StockItems,StockItemName,6,Inventory Management
StockItems,SupplierID,6,Inventory Management
StockItems,Tags,6,Inventory Management
StockItems,TaxRate,6,Inventory Management
StockItems,TypicalWeightPerUnit,6,Inventory Management
StockItems,UnitPackageID,6,Inventory Management
StockItems,UnitPrice,6,Inventory Management
StockItems,ValidFrom,6,Inventory Management
StockItems,ValidTo,6,Inventory Management
BuyingGroups,BuyingGroupID,7,PurchaseGroup Management
BuyingGroups,BuyingGroupName,7,PurchaseGroup Management
BuyingGroups,LastEditedBy,7,PurchaseGroup Management
BuyingGroups,ValidFrom,7,PurchaseGroup Management
BuyingGroups,ValidTo,7,PurchaseGroup Management
ColdRoomTemperatures,ColdRoomSensorNumber,8,TemperatureDataManagement
ColdRoomTemperatures,ColdRoomTemperatureID,8,TemperatureDataManagement
ColdRoomTemperatures,RecordedWhen,8,TemperatureDataManagement
ColdRoomTemperatures,Temperature,8,TemperatureDataManagement
ColdRoomTemperatures,ValidFrom,8,TemperatureDataManagement
ColdRoomTemperatures,ValidTo,8,TemperatureDataManagement
StockGroups,LastEditedBy,9,BuyingGroupAndStockManagement
StockGroups,StockGroupID,9,BuyingGroupAndStockManagement
StockGroups,StockGroupName,9,BuyingGroupAndStockManagement
StockGroups,ValidFrom,9,BuyingGroupAndStockManagement
StockGroups,ValidTo,9,BuyingGroupAndStockManagement
PaymentMethods,LastEditedBy,10,Payment Method Administration
PaymentMethods,PaymentMethodID,10,Payment Method Administration
PaymentMethods,PaymentMethodName,10,Payment Method Administration
PaymentMethods,ValidFrom,10,Payment Method Administration
PaymentMethods,ValidTo,10,Payment Method Administration
People,CustomFields,11,UserProfileManagement
People,EmailAddress,11,UserProfileManagement
People,FaxNumber,11,UserProfileManagement
People,FullName,11,UserProfileManagement
People,HashedPassword,11,UserProfileManagement
People,IsEmployee,11,UserProfileManagement
People,IsExternalLogonProvider,11,UserProfileManagement
People,IsPermittedToLogon,11,UserProfileManagement
People,IsSalesperson,11,UserProfileManagement
People,IsSystemUser,11,UserProfileManagement
People,LastEditedBy,11,UserProfileManagement
People,LogonName,11,UserProfileManagement
People,OtherLanguages,11,UserProfileManagement
People,PersonID,11,UserProfileManagement
People,PhoneNumber,11,UserProfileManagement
People,Photo,11,UserProfileManagement
People,PreferredName,11,UserProfileManagement
People,SearchName,11,UserProfileManagement
People,UserPreferences,11,UserProfileManagement
People,ValidFrom,11,UserProfileManagement
People,ValidTo,11,UserProfileManagement
PackageTypes,LastEditedBy,12,PackageType Management
PackageTypes,PackageTypeID,12,PackageType Management
PackageTypes,PackageTypeName,12,PackageType Management
PackageTypes,ValidFrom,12,PackageType Management
PackageTypes,ValidTo,12,PackageType Management
TransactionTypes,LastEditedBy,13,Transaction Management
TransactionTypes,TransactionTypeID,13,Transaction Management
TransactionTypes,TransactionTypeName,13,Transaction Management
