table,domain_id,domain_name
ColdRoomTemperatures,0,Temperature Tracking
VehicleTemperatures,0,Temperature Tracking
Customers,1,Customer and Supplier Management
Suppliers,1,Customer and Supplier Management
SystemParameters,1,Customer and Supplier Management
CustomerTransactions,2,Purchase and Payment Management
StockItemTransactions,2,Purchase and Payment Management
SupplierTransactions,2,Purchase and Payment Management
TransactionTypes,2,Purchase and Payment Management
BuyingGroups,3,Product and Customer Management
Cities,3,Product and Customer Management
Colors,3,Product and Customer Management
CustomerCategories,3,Product and Customer Management
DeliveryMethods,3,Product and Customer Management
PackageTypes,3,Product and Customer Management
PaymentMethods,3,Product and Customer Management
People,3,Product and Customer Management
StateProvinces,3,Product and Customer Management
StockGroups,3,Product and Customer Management
StockItems,3,Product and Customer Management
SupplierCategories,3,Product and Customer Management
InvoiceLines,4,Purchase and Inventory Management
OrderLines,4,Purchase and Inventory Management
PurchaseOrderLines,4,Purchase and Inventory Management
SpecialDeals,4,Purchase and Inventory Management
StockItemHoldings,4,Purchase and Inventory Management
StockItemStockGroups,4,Purchase and Inventory Management
Invoices,5,Customer Purchase and Order Management
Orders,5,Customer Purchase and Order Management
PurchaseOrders,5,Customer Purchase and Order Management
