table,domain_id,domain_name
CustomerCategories,0,Customer Data Management
Customers,1,Customer-Supplier Management
Suppliers,1,Customer-Supplier Management
SystemParameters,1,Customer-Supplier Management
SupplierCategories,2,SupplierCategory Management
ColdRoomTemperatures,3,TemperatureDataManagement
VehicleTemperatures,3,TemperatureDataManagement
CustomerTransactions,4,Transaction Management
StockItemTransactions,4,Transaction Management
SupplierTransactions,4,Transaction Management
TransactionTypes,4,Transaction Management
Invoices,5,Order and Customer Management
Orders,5,Order and Customer Management
PurchaseOrders,5,Order and Customer Management
DeliveryMethods,6,Delivery Method Management
Colors,7,Color Asset Management
StockItems,8,Inventory Management
BuyingGroups,9,BuyingGroupManagement
PackageTypes,10,Package Management
InvoiceLines,11,Purchase and Inventory Management
OrderLines,11,Purchase and Inventory Management
PurchaseOrderLines,11,Purchase and Inventory Management
SpecialDeals,11,Purchase and Inventory Management
StockItemHoldings,11,Purchase and Inventory Management
StockItemStockGroups,11,Purchase and Inventory Management
StockGroups,12,Buying Group and Stock Management
PaymentMethods,13,Payment Method Management
Cities,14,Geographical Information Management
StateProvinces,14,Geographical Information Management
People,15,User Profile Management
